time,x,y,v,v_d,a,v_des,a_des,throttle,brake,steer
1545754615.54659,1131.23,1183.27,3.0282675154909804e-07,-1.8304978710753696e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.566644,1131.23,1183.27,3.0282675154909804e-07,-2.1294093415308887e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.586594,1131.23,1183.27,2.9677054042424834e-07,-2.2804530771387138e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.606629,1131.23,1183.27,2.896232729295403e-07,-2.4949489307879567e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.626701,1131.23,1183.27,2.7870383647929187e-07,-2.491250900018078e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.646611,1131.23,1183.27,2.7870383647929187e-07,-2.4915300634924077e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.666601,1131.23,1183.27,4.421078548260766e-07,1.1547560637339656e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.686601,1131.23,1183.27,6.917528828558866e-07,1.9079227277710646e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.706671,1131.23,1183.27,6.917528828558866e-07,2.532259000470668e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.726667,1131.23,1183.27,6.917528828558866e-07,3.0560335173330953e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.746628,1131.23,1183.27,5.68204357132588e-07,2.0777961888872467e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.76663,1131.23,1183.27,4.824067698247417e-07,1.4065366437697395e-06,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.786614,1131.23,1183.27,4.824067698247417e-07,8.468629199478573e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
1545754615.80661,1131.23,1183.27,4.797598302672848e-07,6.836570412673068e-07,0.0,11.11111111111111,-0.0,0.0,0.0,0.0
